courseSubject,courseCatalog,coReqWC1,coReqSubject1,coReqCategory1,coReqWC2,coReqSubject2,coReqCategory2
COMP,248,MATH204,MATH,204,,,
COMP,249,MATH205,MATH,205,,,
COMP,345,COMP352,COMP,352,,,
COMP,352,COMP232,COMP,232,,,
ELEC,275,ENGR213,ENGR,213,,,
ENGR,213,MATH204,MATH,204,,,
ENGR,242,ENGR213,ENGR,213,,,
ENGR,244,ENGR233,ENGR,233,,,
ENGR,245,ENGR213,ENGR,213,,,
SOEN,341,ENCS282,ENCS,282,,,
SOEN,343,SOEN342,SOEN,342,,,
SOEN,345,SOEN343,SOEN,343,,,
SOEN,387,COMP353,COMP,353,,,
SOEN,390,SOEN344,SOEN,344,SOEN357,SOEN,357
SOEN,487,SOEN387,SOEN,387,,,
,,,,,,,
