,courseSubject,courseCatalog,ntWC1,ntWC2,ntWC3,ntWC4,ntWC5,ntWC6,ntWC7,ntWC8,ntWC9,ntWC10,ntWC11,ntWC12
,BIOL,206,BIOL261,,,,,,,,,,,
,COEN,320,COEN421,,,,,,,,,,,
,COMP,353,COMP451,COMP454,COMP458,SOEN387,,,,,,,,
,COMP,371,COEN376,COMP477,,,,,,,,,,
,COMP,376,COMP476,,,,,,,,,,,
,ENCS,282,CIVI390,BLDG390,SOEN384,ENCS393,ENCS382,ELEC390,COMP495,COMP490,COMP354,COEN390,ENGR392,SOEN341
,ENGR,201,ENGR392,,,,,,,,,,,
,ENGR,202,ENGR392,,,,,,,,,,,
,ENGR,301,CIVI490,ELEC390,INDU490,MECH490A,MECH498A,MECH498B,MECH498C,BCEE464,BLDG493,COEN390,BLDG491,
,PHYS,252,PHYS352,,,,,,,,,,,
,SOEN,287,SOEN387,,,,,,,,,,,
,SOEN,342,SOEN343,SOEN357,SOEN431,SOEN448,SOEN490,,,,,,,
,SOEN,343,COEN421,COEN498M,SOEN344,SOEN345,SOEN431,SOEN448,SOEN490,,,,,
,SOEN,344,SOEN390,SOEN448,SOEN449,SOEN490,,,,,,,,
,SOEN,357,SOEN390,,,,,,,,,,,
,SOEN,390,SOEN490,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
