,courseSubject,courseCatalog,preReqORWC1,preReqORWC2,preReqORWC3,preReqORWC4
,AERO,482,AERO371,ELEC372,MECH370,SOEN385
,AERO,482,ENGR371,COMP233,,
,COEN,320,COEN346,COMP346,,
,COMP,335,COMP249,COEN244,,
,COMP,335,COMP238,COMP232,COEN231,
,COMP,346,COMP288,SOEN228,,
,COMP,353,COMP352,COEN352,,
,COMP,371,COMP352,COEN352,,
,COMP,376,COMP471,COMP371,,
,COMP,426,COMP346,COEN346,,
,COMP,442,COMP228,SOEN228,COEN311,
,COMP,442,COMP352,COEN352,,
,COMP,472,COMP352,COEN352,,
,COMP,474,COMP352,COEN352,,
,COMP,476,COMP361,ENGR391,,
,COMP,477,COMP361,ENGR391,,
,COMP,479,ENGR371,COMP233,,
,ENGR,244,ENGR242,ENGR245,,
,ENGR,391,COMP248,COEN243,MECH215,BCEE231
,SOEN,331,COMP238,COMP232,,
,SOEN,341,COMP352,COEN352,,
,SOEN,387,COMP354,SOEN341,,
,,,,,,
