,courseSubject,courseCatalog,preReq1WC,preReq2WC,preReq3WC,preReq4WC,preReq5WC,preReq6WC,preReq7WC,preReq8WC
,AERO,480,AERO371,ELEC372,MECH371,SOEN385,,,,
,BIOL,261,,,,,,,,
,CHEM,217,,,,,,,,
,CHEM,221,,,,,,,,
,COMP,232,,,,,,,,
,COMP,249,COMP248,,,,,,,
,COMP,346,COMP352,,,,,,,
,COMP,348,COMP249,,,,,,,
,COMP,352,COMP249,,,,,,,
,COMP,428,COMP346,,,,,,,
,COMP,442,COMP335,,,,,,,
,COMP,445,COMP346,,,,,,,
,COMP,465,COMP465,,,,,,,
,COMP,473,COMP352,,,,,,,
,COMP,476,COMP376,,,,,,,
,COMP,477,COMP371,,,,,,,
,COMP,478,COMP352,,,,,,,
,COMP,479,COMP352,,,,,,,
,ELEC,275,,,,,,,,
,ELEC,321,,ENGR213,,,,,,
,ENCS,282,,,,,,,,
,ENCS,393,ENCS282,,,,,,,
,ENGR,213,,,,,,,,
,ENGR,233,,,,,,,,
,ENGR,242,,,,,,,,
,ENGR,243,ENGR213,ENGR242,,,,,,
,ENGR,244,ENGR213,,,,,,,
,ENGR,245,,,,,,,,
,ENGR,251,,,,,,,,
,ENGR,290,ENGR213,ENGR233,ENCS282,,,,,
,ENGR,311,ENGR233,,,,,,,
,ENGR,361,ENGR213,ENGR233,ENGR 251,,,,,
,ENGR,371,ENGR213,ENGR233,,,,,,
,ENGR,391,ENGR213,ENGR 233,,,,,,
,ENGR,392,ENCS282,ENGR202,ENGR201,,,,,
,MECH,221,,,,,,,,
,PHYS,252,,,,,,,,
,SOEN,228,,,,,,,,
,SOEN,287,COMP248,,,,,,,
,SOEN,321,COMP346,,,,,,,
,SOEN,331,COMP249,,,,,,,
,SOEN,342,SOEN341,,,,,,,
,SOEN,343,SOEN341,,,,,,,
,SOEN,344,SOEN343,,,,,,,
,SOEN,357,SOEN342,,,,,,,
,SOEN,384,SOEN341,ENCS282,,,,,,
,SOEN,385,ENGR213,ENGR233,,,,,,
,SOEN,387,SOEN287,,,,,,,
,SOEN,422,COMP346,,,,,,,
,SOEN,423,COMP346,,,,,,,
,SOEN,490,SOEN390,,,,,,,
,SOEN,498,SOEN498,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
